NVIC_id,SMILES,[Toxicity/AMES Mutagenesis] Predictions,[Toxicity/AMES Mutagenesis] Probability,[Toxicity/AMES Mutagenesis] Interpretation,[Toxicity/Avian] Predictions,[Toxicity/Avian] Probability,[Toxicity/Avian] Interpretation,[Toxicity/Bee] Predictions,[Toxicity/Bee] Probability,[Toxicity/Bee] Interpretation,[Toxicity/Bioconcentration Factor] Predictions,[Toxicity/Bioconcentration Factor] Interpretation,[Toxicity/Biodegradation] Predictions,[Toxicity/Biodegradation] Probability,[Toxicity/Biodegradation] Interpretation,[Toxicity/Carcinogenesis] Predictions,[Toxicity/Carcinogenesis] Probability,[Toxicity/Carcinogenesis] Interpretation,[Toxicity/Crustacean] Predictions,[Toxicity/Crustacean] Probability,[Toxicity/Crustacean] Interpretation,[Toxicity/Liver Injury I (DILI)] Predictions,[Toxicity/Liver Injury I (DILI)] Probability,[Toxicity/Liver Injury I (DILI)] Interpretation,[Toxicity/Eye Corrosion] Predictions,[Toxicity/Eye Corrosion] Probability,[Toxicity/Eye Corrosion] Interpretation,[Toxicity/Eye irritation] Predictions,[Toxicity/Eye irritation] Probability,[Toxicity/Eye irritation] Interpretation,[Toxicity/Maximum Tolerated Dose] Predictions,[Toxicity/Maximum Tolerated Dose] Interpretation,[Toxicity/Liver Injury II] Predictions,[Toxicity/Liver Injury II] Probability,[Toxicity/Liver Injury II] Interpretation,[Toxicity/hERG Blockers] Predictions,[Toxicity/hERG Blockers] Probability,[Toxicity/hERG Blockers] Interpretation,[Toxicity/Daphnia Maga] Predictions,[Toxicity/Daphnia Maga] Interpretation,[Toxicity/Micronucleos] Predictions,[Toxicity/Micronucleos] Probability,[Toxicity/Micronucleos] Interpretation,[Toxicity/NR-AhR] Predictions,[Toxicity/NR-AhR] Probability,[Toxicity/NR-AhR] Interpretation,[Toxicity/NR-AR] Predictions,[Toxicity/NR-AR] Probability,[Toxicity/NR-AR] Interpretation,[Toxicity/NR-AR-LBD] Predictions,[Toxicity/NR-AR-LBD] Probability,[Toxicity/NR-AR-LBD] Interpretation,[Toxicity/NR-Aromatase] Predictions,[Toxicity/NR-Aromatase] Probability,[Toxicity/NR-Aromatase] Interpretation,[Toxicity/NR-ER] Predictions,[Toxicity/NR-ER] Probability,[Toxicity/NR-ER] Interpretation,[Toxicity/NR-ER-LBD] Predictions,[Toxicity/NR-ER-LBD] Probability,[Toxicity/NR-ER-LBD] Interpretation,[Toxicity/NR-GR] Predictions,[Toxicity/NR-GR] Probability,[Toxicity/NR-GR] Interpretation,[Toxicity/NR-PPAR-gamma] Predictions,[Toxicity/NR-PPAR-gamma] Probability,[Toxicity/NR-PPAR-gamma] Interpretation,[Toxicity/NR-TR] Predictions,[Toxicity/NR-TR] Probability,[Toxicity/NR-TR] Interpretation,[Toxicity/T. Pyriformis] Predictions,[Toxicity/T. Pyriformis] Interpretation,[Toxicity/Rat (Acute)] Predictions,[Toxicity/Rat (Acute)] Interpretation,[Toxicity/Rat (Chronic Oral)] Predictions,[Toxicity/Rat (Chronic Oral)] Interpretation,[Toxicity/Fathead Minnow] Predictions,[Toxicity/Fathead Minnow] Interpretation,[Toxicity/Respiratory Disease] Predictions,[Toxicity/Respiratory Disease] Probability,[Toxicity/Respiratory Disease] Interpretation,[Toxicity/Skin Sensitisation] Predictions,[Toxicity/Skin Sensitisation] Probability,[Toxicity/Skin Sensitisation] Interpretation,[Toxicity/SR-ARE] Predictions,[Toxicity/SR-ARE] Probability,[Toxicity/SR-ARE] Interpretation,[Toxicity/SR-ATAD5] Predictions,[Toxicity/SR-ATAD5] Probability,[Toxicity/SR-ATAD5] Interpretation,[Toxicity/SR-HSE] Predictions,[Toxicity/SR-HSE] Probability,[Toxicity/SR-HSE] Interpretation,[Toxicity/SR-MMP] Predictions,[Toxicity/SR-MMP] Probability,[Toxicity/SR-MMP] Interpretation,[Toxicity/SR-p53] Predictions,[Toxicity/SR-p53] Probability,[Toxicity/SR-p53] Interpretation
NVIC0036,C[C@H]1O[C@H](C)CN(C1)C1=NC(=O)/C(=C/c2cn(nc2c2cc3c(o2)cccc3)c2ccccc2)/S1	,Safe,0.043,Safe  (High Confidence),Safe,0.088,Safe  (High Confidence),Safe,0.485,Safe  (Low Confidence),1.02,None,Safe,0,Safe  (High Confidence),Safe,0.065,Safe  (High Confidence),Toxic,1,Toxic  (High Confidence),Safe,0.271,Safe  (Medium Confidence),Safe,0,Safe  (High Confidence),Safe,0.003,Safe  (High Confidence),0.77,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.815,Toxic  (Medium Confidence),Toxic,0.986,Toxic  (High Confidence),6.09,None,Toxic,0.994,Toxic  (High Confidence),Safe,0.13,Safe  (High Confidence),Safe,0.008,Safe  (High Confidence),Safe,0.188,Safe  (Medium Confidence),Safe,0,Safe  (High Confidence),Safe,0.307,Safe  (Medium Confidence),Safe,0,Safe  (High Confidence),Safe,0.345,Safe  (Low Confidence),Safe,0.007,Safe  (High Confidence),Toxic,0.971,Toxic  (High Confidence),-1088.1,PIGC50% > -0.5 log ug/L: toxic,2.43,None,0.77,None,9.53,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.568,Toxic  (Low Confidence),Toxic,0.553,Toxic  (Low Confidence),Safe,0.241,Safe  (Medium Confidence),Safe,0.025,Safe  (High Confidence),Safe,0.47,Safe  (Low Confidence),Toxic,0.956,Toxic  (High Confidence),Toxic,0.994,Toxic  (High Confidence)
NVIC0037,CCN(c1nc(N)c(nc1Cl)C(=O)N=C(N)N)C(C)C	,Toxic,0.995,Toxic  (High Confidence),Safe,0.021,Safe  (High Confidence),Toxic,0.597,Toxic  (Low Confidence),-0.8,None,Safe,0.004,Safe  (High Confidence),Safe,0.085,Safe  (High Confidence),Safe,0.135,Safe  (High Confidence),Safe,0.355,Safe  (Low Confidence),Safe,0,Safe  (High Confidence),Safe,0.002,Safe  (High Confidence),0.57,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.755,Toxic  (Medium Confidence),Toxic,0.809,Toxic  (Medium Confidence),6.35,None,Toxic,1,Toxic  (High Confidence),Safe,0.054,Safe  (High Confidence),Safe,0.039,Safe  (High Confidence),Safe,0.003,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.086,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.006,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.19,Safe  (Medium Confidence),-0.8,PIGC50% > -0.5 log ug/L: toxic,2.25,None,1.72,None,4.14,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.925,Toxic  (High Confidence),Toxic,0.508,Toxic  (Low Confidence),Safe,0.104,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.011,Safe  (High Confidence)
NVIC0038,CSC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1ccc2c1ncnc2N	,Toxic,0.997,Toxic  (High Confidence),Safe,0.41,Safe  (Low Confidence),Toxic,0.775,Toxic  (Medium Confidence),-0.43,None,Safe,0.005,Safe  (High Confidence),Toxic,0.657,Toxic  (Low Confidence),Safe,0.322,Safe  (Medium Confidence),Safe,0.402,Safe  (Low Confidence),Safe,0,Safe  (High Confidence),Safe,0.021,Safe  (High Confidence),0.75,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.808,Toxic  (Medium Confidence),Safe,0.004,Safe  (High Confidence),4.89,None,Toxic,0.987,Toxic  (High Confidence),Safe,0.271,Safe  (Medium Confidence),Safe,0.004,Safe  (High Confidence),Safe,0.024,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.133,Safe  (High Confidence),Safe,0.021,Safe  (High Confidence),Safe,0.424,Safe  (Low Confidence),Safe,0.005,Safe  (High Confidence),Safe,0.038,Safe  (High Confidence),0.03,PIGC50% > -0.5 log ug/L: toxic,3.05,None,1.87,None,3.95,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.749,Toxic  (Medium Confidence),Toxic,0.772,Toxic  (Medium Confidence),Safe,0.177,Safe  (Medium Confidence),Safe,0.01,Safe  (High Confidence),Safe,0.005,Safe  (High Confidence),Safe,0.007,Safe  (High Confidence),Safe,0.099,Safe  (High Confidence)
NVIC0039,Nc1ncnc2c1[nH]cn2	,Toxic,0.619,Toxic  (Low Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.393,Safe  (Low Confidence),-1.44,None,Toxic,0.979,Toxic  (High Confidence),Safe,0.29,Safe  (Medium Confidence),Safe,0.067,Safe  (High Confidence),Toxic,0.682,Toxic  (Medium Confidence),Safe,0,Safe  (High Confidence),Toxic,0.982,Toxic  (High Confidence),0.63,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.704,Toxic  (Medium Confidence),Safe,0,Safe  (High Confidence),7.08,None,Toxic,1,Toxic  (High Confidence),Safe,0.38,Safe  (Low Confidence),Safe,0.01,Safe  (High Confidence),Safe,0.037,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.021,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.009,Safe  (High Confidence),0.85,PIGC50% > -0.5 log ug/L: toxic,2.52,None,2.06,None,5.34,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.907,Toxic  (High Confidence),Toxic,0.592,Toxic  (Low Confidence),Safe,0.03,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.029,Safe  (High Confidence)
NVIC0040,Oc1ccc2c(c1)o/c(=N\c1sc3c(c1C(=O)N)CCCC3)/c(c2)C(=O)N	,Toxic,0.999,Toxic  (High Confidence),Safe,0.092,Safe  (High Confidence),Toxic,0.757,Toxic  (Medium Confidence),0.73,None,Safe,0,Safe  (High Confidence),Toxic,0.503,Toxic  (Low Confidence),Toxic,0.996,Toxic  (High Confidence),Toxic,0.54,Toxic  (Low Confidence),Safe,0,Safe  (High Confidence),Safe,0.011,Safe  (High Confidence),1.04,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.864,Toxic  (High Confidence),Safe,0.125,Safe  (High Confidence),5.72,None,Toxic,0.995,Toxic  (High Confidence),Safe,0.198,Safe  (Medium Confidence),Safe,0.31,Safe  (Medium Confidence),Safe,0.048,Safe  (High Confidence),Toxic,0.562,Toxic  (Low Confidence),Toxic,0.654,Toxic  (Low Confidence),Safe,0.289,Safe  (Medium Confidence),Toxic,0.5,Toxic  (Low Confidence),Safe,0.036,Safe  (High Confidence),Toxic,0.972,Toxic  (High Confidence),-5.78,PIGC50% > -0.5 log ug/L: toxic,1.95,None,1.4,None,4.65,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.977,Toxic  (High Confidence),Safe,0.497,Safe  (Low Confidence),Safe,0.227,Safe  (Medium Confidence),Safe,0.006,Safe  (High Confidence),Safe,0.045,Safe  (High Confidence),Toxic,0.532,Toxic  (Low Confidence),Safe,0.266,Safe  (Medium Confidence)
NVIC0041,OCc1cnc(n1Cc1ccc(cc1)C)SCC(=O)N1CCCc2c1cccc2	,Safe,0.092,Safe  (High Confidence),Safe,0.004,Safe  (High Confidence),Toxic,0.798,Toxic  (Medium Confidence),0.39,None,Safe,0.073,Safe  (High Confidence),Safe,0.107,Safe  (High Confidence),Toxic,0.731,Toxic  (Medium Confidence),Safe,0.444,Safe  (Low Confidence),Safe,0,Safe  (High Confidence),Safe,0.004,Safe  (High Confidence),0.13,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.761,Toxic  (Medium Confidence),Toxic,0.739,Toxic  (Medium Confidence),6.69,None,Toxic,1,Toxic  (High Confidence),Safe,0.119,Safe  (High Confidence),Safe,0.102,Safe  (High Confidence),Safe,0.013,Safe  (High Confidence),Safe,0.227,Safe  (Medium Confidence),Safe,0.047,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.31,Safe  (Medium Confidence),Safe,0,Safe  (High Confidence),Safe,0.304,Safe  (Medium Confidence),-35.21,PIGC50% > -0.5 log ug/L: toxic,2.58,None,1.13,None,5.09,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.692,Toxic  (Medium Confidence),Toxic,0.678,Toxic  (Medium Confidence),Safe,0.313,Safe  (Medium Confidence),Safe,0,Safe  (High Confidence),Safe,0.016,Safe  (High Confidence),Safe,0.093,Safe  (High Confidence),Safe,0,Safe  (High Confidence)
NVIC0042,O=C(CSc1nc(nc2c1c(=O)n(C)c(=O)n2C)c1ccco1)NCCc1ccccc1	,Safe,0.001,Safe  (High Confidence),Safe,0.3,Safe  (Medium Confidence),Safe,0.332,Safe  (Medium Confidence),0.49,None,Safe,0.003,Safe  (High Confidence),Toxic,0.688,Toxic  (Medium Confidence),Toxic,0.956,Toxic  (High Confidence),Toxic,0.774,Toxic  (Medium Confidence),Safe,0,Safe  (High Confidence),Safe,0.003,Safe  (High Confidence),0.91,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.8,Toxic  (Medium Confidence),Safe,0.178,Safe  (Medium Confidence),4.94,None,Toxic,0.993,Toxic  (High Confidence),Safe,0.072,Safe  (High Confidence),Safe,0.006,Safe  (High Confidence),Safe,0.018,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.078,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.33,Safe  (Medium Confidence),Safe,0.028,Safe  (High Confidence),Safe,0.051,Safe  (High Confidence),-132.7,PIGC50% > -0.5 log ug/L: toxic,2.47,None,1.01,None,5.36,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.465,Safe  (Low Confidence),Toxic,0.531,Toxic  (Low Confidence),Toxic,0.624,Toxic  (Low Confidence),Safe,0.026,Safe  (High Confidence),Safe,0.175,Safe  (Medium Confidence),Safe,0.031,Safe  (High Confidence),Safe,0,Safe  (High Confidence)
NVIC0043,Fc1ccc(cc1)n1nc2c(c1NC(=O)C(=O)NCC1CCCO1)CSC2	,Safe,0.078,Safe  (High Confidence),Safe,0.076,Safe  (High Confidence),Toxic,0.568,Toxic  (Low Confidence),0.04,None,Safe,0.005,Safe  (High Confidence),Safe,0.131,Safe  (High Confidence),Toxic,0.895,Toxic  (High Confidence),Safe,0.49,Safe  (Low Confidence),Safe,0,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),0.3,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.874,Toxic  (High Confidence),Safe,0.044,Safe  (High Confidence),4.33,None,Toxic,0.981,Toxic  (High Confidence),Toxic,0.59,Toxic  (Low Confidence),Safe,0.104,Safe  (High Confidence),Safe,0.082,Safe  (High Confidence),Safe,0.023,Safe  (High Confidence),Safe,0.287,Safe  (Medium Confidence),Safe,0.002,Safe  (High Confidence),Safe,0.281,Safe  (Medium Confidence),Safe,0.052,Safe  (High Confidence),Toxic,0.754,Toxic  (Medium Confidence),-11.66,PIGC50% > -0.5 log ug/L: toxic,2.51,None,1.46,None,4.48,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.814,Toxic  (Medium Confidence),Safe,0.402,Safe  (Low Confidence),Toxic,0.73,Toxic  (Medium Confidence),Safe,0.011,Safe  (High Confidence),Safe,0.034,Safe  (High Confidence),Safe,0.454,Safe  (Low Confidence),Safe,0.027,Safe  (High Confidence)
NVIC0044,S=C1S/C(=C\c2ccc(o2)c2ccc(c(c2)C(=O)O)Cl)/C(=O)N1CCc1ccccc1	,Safe,0.27,Safe  (Medium Confidence),Safe,0.084,Safe  (High Confidence),Safe,0.403,Safe  (Low Confidence),1.22,None,Safe,0.002,Safe  (High Confidence),Safe,0.406,Safe  (Low Confidence),Toxic,0.999,Toxic  (High Confidence),Toxic,0.908,Toxic  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.007,Safe  (High Confidence),0.81,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.765,Toxic  (Medium Confidence),Safe,0.041,Safe  (High Confidence),5.7,None,Toxic,0.952,Toxic  (High Confidence),Safe,0.081,Safe  (High Confidence),Safe,0.035,Safe  (High Confidence),Safe,0.027,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.212,Safe  (Medium Confidence),Safe,0,Safe  (High Confidence),Toxic,0.652,Toxic  (Low Confidence),Safe,0.149,Safe  (High Confidence),Toxic,0.578,Toxic  (Low Confidence),-74.12,PIGC50% > -0.5 log ug/L: toxic,2.6,None,1.67,None,5.51,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.494,Safe  (Low Confidence),Safe,0.4,Safe  (Low Confidence),Toxic,0.548,Toxic  (Low Confidence),Toxic,0.664,Toxic  (Low Confidence),Toxic,0.687,Toxic  (Medium Confidence),Safe,0.239,Safe  (Medium Confidence),Safe,0.007,Safe  (High Confidence)
NVIC0045,O=C(N1CCN(CC1)C(=O)Nc1cccc(c1)c1ccccc1)Nc1cccc(c1)c1ccccc1	,Safe,0,Safe  (High Confidence),Toxic,0.554,Toxic  (Low Confidence),Safe,0.432,Safe  (Low Confidence),1.11,None,Safe,0,Safe  (High Confidence),Safe,0.208,Safe  (Medium Confidence),Toxic,0.999,Toxic  (High Confidence),Toxic,0.585,Toxic  (Low Confidence),Safe,0,Safe  (High Confidence),Safe,0.011,Safe  (High Confidence),0.83,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.867,Toxic  (High Confidence),Toxic,0.822,Toxic  (Medium Confidence),5.91,None,Toxic,0.999,Toxic  (High Confidence),Toxic,0.901,Toxic  (High Confidence),Safe,0.11,Safe  (High Confidence),Safe,0.002,Safe  (High Confidence),Safe,0.003,Safe  (High Confidence),Safe,0.377,Safe  (Low Confidence),Safe,0,Safe  (High Confidence),Safe,0.11,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Toxic,0.559,Toxic  (Low Confidence),-1373.83,PIGC50% > -0.5 log ug/L: toxic,2.2,None,2.77,None,9.73,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.027,Safe  (High Confidence),Safe,0.466,Safe  (Low Confidence),Toxic,0.71,Toxic  (Medium Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.002,Safe  (High Confidence),Toxic,0.996,Toxic  (High Confidence),Toxic,0.556,Toxic  (Low Confidence)
NVIC0046,N#Cc1ccc(cc1)C(c1cncn1Cc1ccc2c(c1)c(cc(=O)n2C)c1cccc(c1)Cl)O	,Safe,0.052,Safe  (High Confidence),Safe,0.005,Safe  (High Confidence),Toxic,0.783,Toxic  (Medium Confidence),0.52,None,Safe,0.002,Safe  (High Confidence),Toxic,0.509,Toxic  (Low Confidence),Toxic,1,Toxic  (High Confidence),Safe,0.084,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.026,Safe  (High Confidence),-0.46,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.878,Toxic  (High Confidence),Toxic,0.987,Toxic  (High Confidence),8.87,None,Toxic,1,Toxic  (High Confidence),Safe,0.187,Safe  (Medium Confidence),Safe,0.181,Safe  (Medium Confidence),Safe,0.052,Safe  (High Confidence),Toxic,1,Toxic  (High Confidence),Safe,0.024,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Toxic,0.928,Toxic  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.182,Safe  (Medium Confidence),-728.28,PIGC50% > -0.5 log ug/L: toxic,2.88,None,1.07,None,7.12,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.944,Toxic  (High Confidence),Safe,0.491,Safe  (Low Confidence),Toxic,0.659,Toxic  (Low Confidence),Safe,0,Safe  (High Confidence),Toxic,0.64,Toxic  (Low Confidence),Toxic,0.503,Toxic  (Low Confidence),Safe,0.002,Safe  (High Confidence)
NVIC0047,Clc1ccc(cc1)C(c1ccccc1)(OCC[C@H]1CCCN1C)COC(=O)/C=C/C(=O)O	,Safe,0,Safe  (High Confidence),Safe,0.01,Safe  (High Confidence),Toxic,0.637,Toxic  (Low Confidence),0.72,None,Safe,0.015,Safe  (High Confidence),Safe,0.007,Safe  (High Confidence),Safe,0.205,Safe  (Medium Confidence),Safe,0.457,Safe  (Low Confidence),Safe,0,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),-0.34,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.754,Toxic  (Medium Confidence),Safe,0.043,Safe  (High Confidence),5.91,None,Toxic,0.918,Toxic  (High Confidence),Safe,0.009,Safe  (High Confidence),Safe,0.043,Safe  (High Confidence),Safe,0.081,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.053,Safe  (High Confidence),Safe,0.006,Safe  (High Confidence),Safe,0.223,Safe  (Medium Confidence),Safe,0.198,Safe  (Medium Confidence),Safe,0.205,Safe  (Medium Confidence),-86.78,PIGC50% > -0.5 log ug/L: toxic,2.45,None,2.72,None,4.88,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.965,Toxic  (High Confidence),Safe,0.359,Safe  (Low Confidence),Toxic,0.948,Toxic  (High Confidence),Safe,0.017,Safe  (High Confidence),Safe,0.015,Safe  (High Confidence),Safe,0.012,Safe  (High Confidence),Safe,0.037,Safe  (High Confidence)
NVIC0048,CC(c1cc(O)c(cc1O)C(C)(C)C)(C)C	,Safe,0,Safe  (High Confidence),Safe,0.076,Safe  (High Confidence),Toxic,0.705,Toxic  (Medium Confidence),2.11,None,Safe,0.014,Safe  (High Confidence),Safe,0.166,Safe  (High Confidence),Toxic,0.742,Toxic  (Medium Confidence),Safe,0.307,Safe  (Medium Confidence),Safe,0.191,Safe  (Medium Confidence),Toxic,0.995,Toxic  (High Confidence),-0.25,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Safe,0.297,Safe  (Medium Confidence),Safe,0,Safe  (High Confidence),4.81,None,Safe,0.273,Safe  (Medium Confidence),Safe,0.075,Safe  (High Confidence),Safe,0.016,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.087,Safe  (High Confidence),Safe,0.126,Safe  (High Confidence),Safe,0.005,Safe  (High Confidence),Toxic,0.684,Toxic  (Medium Confidence),Safe,0.023,Safe  (High Confidence),Safe,0.006,Safe  (High Confidence),3.9,PIGC50% > -0.5 log ug/L: toxic,1.89,None,2.19,None,4.15,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.471,Safe  (Low Confidence),Toxic,0.709,Toxic  (Medium Confidence),Toxic,0.855,Toxic  (High Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.086,Safe  (High Confidence),Toxic,0.993,Toxic  (High Confidence),Safe,0.001,Safe  (High Confidence)
NVIC0049,[Fe]	,Toxic,0.878,Toxic  (High Confidence),Safe,0.425,Safe  (Low Confidence),Safe,0.411,Safe  (Low Confidence),1.03,None,Toxic,0.75,Toxic  (Medium Confidence),Toxic,0.514,Toxic  (Low Confidence),Safe,0.255,Safe  (Medium Confidence),Toxic,0.867,Toxic  (High Confidence),Toxic,0.999,Toxic  (High Confidence),Toxic,1,Toxic  (High Confidence),0.64,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.512,Toxic  (Low Confidence),Safe,0.032,Safe  (High Confidence),3.1,None,Safe,0.084,Safe  (High Confidence),Safe,0.004,Safe  (High Confidence),Safe,0.012,Safe  (High Confidence),Safe,0.027,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.028,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.002,Safe  (High Confidence),Safe,0.003,Safe  (High Confidence),2.03,PIGC50% > -0.5 log ug/L: toxic,2.23,None,2.07,None,1.66,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.487,Safe  (Low Confidence),Toxic,0.758,Toxic  (Medium Confidence),Safe,0.029,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.133,Safe  (High Confidence),Safe,0,Safe  (High Confidence),Safe,0.004,Safe  (High Confidence)
