NVIC_ID,SMILES,[Metabolism/Breast Cancer Resistance Protein] Predictions,[Metabolism/Breast Cancer Resistance Protein] Probability,[Metabolism/Breast Cancer Resistance Protein] Interpretation,[Metabolism/CYP 1A2 Inhibitor] Predictions,[Metabolism/CYP 1A2 Inhibitor] Probability,[Metabolism/CYP 1A2 Inhibitor] Interpretation,[Metabolism/CYP 1A2_substrate] Predictions,[Metabolism/CYP 1A2_substrate] Probability,[Metabolism/CYP 1A2_substrate] Interpretation,[Metabolism/CYP 2C19 Inhibitor] Predictions,[Metabolism/CYP 2C19 Inhibitor] Probability,[Metabolism/CYP 2C19 Inhibitor] Interpretation,[Metabolism/CYP 2C19_substrate] Predictions,[Metabolism/CYP 2C19_substrate] Probability,[Metabolism/CYP 2C19_substrate] Interpretation,[Metabolism/CYP 2C9 Inhibitor] Predictions,[Metabolism/CYP 2C9 Inhibitor] Probability,[Metabolism/CYP 2C9 Inhibitor] Interpretation,[Metabolism/CYP 2C9 Substrate] Predictions,[Metabolism/CYP 2C9 Substrate] Probability,[Metabolism/CYP 2C9 Substrate] Interpretation,[Metabolism/CYP 2D6 Inhibitor] Predictions,[Metabolism/CYP 2D6 Inhibitor] Probability,[Metabolism/CYP 2D6 Inhibitor] Interpretation,[Metabolism/CYP 2D6 Substrate] Predictions,[Metabolism/CYP 2D6 Substrate] Probability,[Metabolism/CYP 2D6 Substrate] Interpretation,[Metabolism/CYP 3A4 Inhibitor] Predictions,[Metabolism/CYP 3A4 Inhibitor] Probability,[Metabolism/CYP 3A4 Inhibitor] Interpretation,[Metabolism/CYP 3A4 Substrate] Predictions,[Metabolism/CYP 3A4 Substrate] Probability,[Metabolism/CYP 3A4 Substrate] Interpretation,[Metabolism/OATP1B1] Predictions,[Metabolism/OATP1B1] Probability,[Metabolism/OATP1B1] Interpretation,[Metabolism/OATP1B3] Predictions,[Metabolism/OATP1B3] Probability,[Metabolism/OATP1B3] Interpretation
NVIC0011,"Cc1coc2-c3c(C(=O)C(=O)c12)c1cccc(c1cc3)C	",Inhibitor,0.843,Inhibitor  (High Confidence),Inhibitor,0.988,Inhibitor  (High Confidence),Substrate,0.964,Substrate  (High Confidence),Inhibitor,0.964,Inhibitor  (High Confidence),Non-Substrate,0.475,Non-Substrate  (Low Confidence),Inhibitor,0.768,Inhibitor  (Medium Confidence),Non-Substrate,0.169,Non-Substrate  (Medium Confidence),Inhibitor,0.586,Inhibitor  (Low Confidence),Non-Substrate,0.436,Non-Substrate  (Low Confidence),Inhibitor,0.675,Inhibitor  (Medium Confidence),Non-Substrate,0.042,Non-Substrate  (High Confidence),Non-Inhibitor,0.132,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.069,Non-Inhibitor  (High Confidence)
NVIC0012,"OC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CO)O[C@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)[C@H]([C@@H]([C@H]1O)O)O	",Non-Inhibitor,0.001,Non-Inhibitor  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0,Non-Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.269,Non-Substrate  (Medium Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0,Non-Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.043,Non-Substrate  (High Confidence),Non-Inhibitor,0.023,Non-Inhibitor  (High Confidence),Non-Substrate,0,Non-Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.022,Non-Inhibitor  (High Confidence)
NVIC0013,"COc1ccc2c(c1)nc(s2)NC(c1ccc2c(c1O)nccc2)c1ccc(cc1)OC(F)F	",Inhibitor,0.984,Inhibitor  (High Confidence),Non-Inhibitor,0.366,Non-Inhibitor  (Low Confidence),Non-Substrate,0.292,Non-Substrate  (Medium Confidence),Inhibitor,0.999,Inhibitor  (High Confidence),Non-Substrate,0.412,Non-Substrate  (Low Confidence),Inhibitor,0.995,Inhibitor  (High Confidence),Substrate,0.998,Substrate  (High Confidence),Non-Inhibitor,0.308,Non-Inhibitor  (Medium Confidence),Non-Substrate,0.476,Non-Substrate  (Low Confidence),Inhibitor,0.842,Inhibitor  (High Confidence),Substrate,0.824,Substrate  (Medium Confidence),Inhibitor,0.909,Inhibitor  (High Confidence),Non-Inhibitor,0.264,Non-Inhibitor  (Medium Confidence)
NVIC0014,"CNc1ccc2c(c1C(=O)O)nc(o2)C[C@H]1O[C@@]2(CC[C@H]1C)O[C@@H]([C@@H](C[C@H]2C)C)[C@@H](C(=O)c1ccc[nH]1)C	",Non-Inhibitor,0.161,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.044,Non-Inhibitor  (High Confidence),Non-Substrate,0.045,Non-Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.282,Non-Substrate  (Medium Confidence),Non-Inhibitor,0.003,Non-Inhibitor  (High Confidence),Non-Substrate,0.004,Non-Substrate  (High Confidence),Non-Inhibitor,0.022,Non-Inhibitor  (High Confidence),Non-Substrate,0.238,Non-Substrate  (Medium Confidence),Inhibitor,0.982,Inhibitor  (High Confidence),Non-Substrate,0,Non-Substrate  (High Confidence),Non-Inhibitor,0.109,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.075,Non-Inhibitor  (High Confidence)
NVIC0015,"CCC(COC(=O)[C@@H](N[P@@](=O)(Oc1ccccc1)OC[C@H]1O[C@@]([C@@H]([C@@H]1O)O)(C#N)c1ccc2n1ncnc2N)C)CC	",Non-Inhibitor,0.319,Non-Inhibitor  (Medium Confidence),Non-Inhibitor,0.354,Non-Inhibitor  (Low Confidence),Non-Substrate,0.016,Non-Substrate  (High Confidence),Non-Inhibitor,0.013,Non-Inhibitor  (High Confidence),Non-Substrate,0.295,Non-Substrate  (Medium Confidence),Non-Inhibitor,0.025,Non-Inhibitor  (High Confidence),Substrate,0.93,Substrate  (High Confidence),Non-Inhibitor,0.078,Non-Inhibitor  (High Confidence),Non-Substrate,0.275,Non-Substrate  (Medium Confidence),Inhibitor,0.851,Inhibitor  (High Confidence),Substrate,0.743,Substrate  (Medium Confidence),Inhibitor,0.551,Inhibitor  (Low Confidence),Non-Inhibitor,0.352,Non-Inhibitor  (Low Confidence)
NVIC0016,"CCN(c1ccc(cc1)/C(=C/1\C=CC(=[N+](CC)CC)C=C1)/c1ccccc1)CC	",Inhibitor,0.924,Inhibitor  (High Confidence),Inhibitor,0.963,Inhibitor  (High Confidence),Substrate,0.549,Substrate  (Low Confidence),Non-Inhibitor,0.381,Non-Inhibitor  (Low Confidence),Non-Substrate,0.433,Non-Substrate  (Low Confidence),Non-Inhibitor,0.013,Non-Inhibitor  (High Confidence),Non-Substrate,0.197,Non-Substrate  (Medium Confidence),Inhibitor,0.968,Inhibitor  (High Confidence),Substrate,0.562,Substrate  (Low Confidence),Non-Inhibitor,0.161,Non-Inhibitor  (High Confidence),Non-Substrate,0.089,Non-Substrate  (High Confidence),Non-Inhibitor,0.119,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.111,Non-Inhibitor  (High Confidence)
NVIC0017,"OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)c1n[nH]c(c1O)C(=O)N	",Non-Inhibitor,0.012,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.064,Non-Inhibitor  (High Confidence),Non-Substrate,0.008,Non-Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.311,Non-Substrate  (Medium Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0,Non-Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.224,Non-Substrate  (Medium Confidence),Non-Inhibitor,0.003,Non-Inhibitor  (High Confidence),Non-Substrate,0,Non-Substrate  (High Confidence),Non-Inhibitor,0.005,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.014,Non-Inhibitor  (High Confidence)
NVIC0018,"OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)NCC1CNc2c(N1)c(=O)[nH]c(n2)N	",Non-Inhibitor,0.021,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.192,Non-Inhibitor  (Medium Confidence),Non-Substrate,0,Non-Substrate  (High Confidence),Non-Inhibitor,0.005,Non-Inhibitor  (High Confidence),Non-Substrate,0.098,Non-Substrate  (High Confidence),Non-Inhibitor,0.002,Non-Inhibitor  (High Confidence),Non-Substrate,0,Non-Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.138,Non-Substrate  (High Confidence),Non-Inhibitor,0.035,Non-Inhibitor  (High Confidence),Non-Substrate,0,Non-Substrate  (High Confidence),Non-Inhibitor,0.001,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.188,Non-Inhibitor  (Medium Confidence)
NVIC0019,"Oc1ccc(cc1)/C=N\Nc1nc(Nc2ccccc2)nc(n1)N1CCOCC1	",Inhibitor,0.973,Inhibitor  (High Confidence),Non-Inhibitor,0.394,Non-Inhibitor  (Low Confidence),Non-Substrate,0.217,Non-Substrate  (Medium Confidence),Inhibitor,0.877,Inhibitor  (High Confidence),Non-Substrate,0.377,Non-Substrate  (Low Confidence),Inhibitor,0.973,Inhibitor  (High Confidence),Non-Substrate,0.001,Non-Substrate  (High Confidence),Non-Inhibitor,0.004,Non-Inhibitor  (High Confidence),Non-Substrate,0.47,Non-Substrate  (Low Confidence),Non-Inhibitor,0.309,Non-Inhibitor  (Medium Confidence),Non-Substrate,0.036,Non-Substrate  (High Confidence),Non-Inhibitor,0.402,Non-Inhibitor  (Low Confidence),Non-Inhibitor,0.04,Non-Inhibitor  (High Confidence)
NVIC0020,"COc1cc(/C=N\Nc2cc(nc(n2)N2CCOCC2)N2CCOCC2)ccc1O	",Inhibitor,0.957,Inhibitor  (High Confidence),Non-Inhibitor,0.307,Non-Inhibitor  (Medium Confidence),Non-Substrate,0.475,Non-Substrate  (Low Confidence),Inhibitor,0.661,Inhibitor  (Low Confidence),Non-Substrate,0.405,Non-Substrate  (Low Confidence),Inhibitor,0.798,Inhibitor  (Medium Confidence),Non-Substrate,0,Non-Substrate  (High Confidence),Non-Inhibitor,0.001,Non-Inhibitor  (High Confidence),Non-Substrate,0.48,Non-Substrate  (Low Confidence),Non-Inhibitor,0.417,Non-Inhibitor  (Low Confidence),Non-Substrate,0.005,Non-Substrate  (High Confidence),Non-Inhibitor,0.122,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.023,Non-Inhibitor  (High Confidence)
NVIC0021,"COc1ccc(cc1O)/C=C\1/SC(=N)NC1=O	",Non-Inhibitor,0.203,Non-Inhibitor  (Medium Confidence),Inhibitor,0.994,Inhibitor  (High Confidence),Non-Substrate,0.432,Non-Substrate  (Low Confidence),Non-Inhibitor,0.144,Non-Inhibitor  (High Confidence),Substrate,0.55,Substrate  (Low Confidence),Inhibitor,0.952,Inhibitor  (High Confidence),Non-Substrate,0.333,Non-Substrate  (Low Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.432,Non-Substrate  (Low Confidence),Non-Inhibitor,0.068,Non-Inhibitor  (High Confidence),Non-Substrate,0.011,Non-Substrate  (High Confidence),Non-Inhibitor,0.047,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.03,Non-Inhibitor  (High Confidence)
NVIC0022,"C[C@@H]1N[C@@H]2N(C1=O)c1c([C@]32C[C@@H]2[C@@](O3)(O)C(C)(C)C(=O)c3n2c(=O)c2ccccc2n3)cccc1	",Non-Inhibitor,0.417,Non-Inhibitor  (Low Confidence),Inhibitor,0.525,Inhibitor  (Low Confidence),Substrate,0.625,Substrate  (Low Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.48,Non-Substrate  (Low Confidence),Non-Inhibitor,0.078,Non-Inhibitor  (High Confidence),Non-Substrate,0.06,Non-Substrate  (High Confidence),Non-Inhibitor,0.01,Non-Inhibitor  (High Confidence),Non-Substrate,0.286,Non-Substrate  (Medium Confidence),Non-Inhibitor,0.378,Non-Inhibitor  (Low Confidence),Substrate,0.598,Substrate  (Low Confidence),Non-Inhibitor,0.287,Non-Inhibitor  (Medium Confidence),Non-Inhibitor,0.211,Non-Inhibitor  (Medium Confidence)
NVIC0023,"O=C1Nc2c([C@]31C[C@@]14[C@@H](C3(C)C)C[C@@]3(C(=O)N1)N(C4=O)CCC3)cc1c(c2)OC(C=C1)(C)C	",Non-Inhibitor,0.219,Non-Inhibitor  (Medium Confidence),Inhibitor,0.65,Inhibitor  (Low Confidence),Non-Substrate,0.37,Non-Substrate  (Low Confidence),Non-Inhibitor,0.037,Non-Inhibitor  (High Confidence),Non-Substrate,0.448,Non-Substrate  (Low Confidence),Inhibitor,0.815,Inhibitor  (Medium Confidence),Non-Substrate,0,Non-Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Substrate,0.5,Substrate  (Low Confidence),Non-Inhibitor,0.373,Non-Inhibitor  (Low Confidence),Substrate,0.965,Substrate  (High Confidence),Non-Inhibitor,0.364,Non-Inhibitor  (Low Confidence),Non-Inhibitor,0.212,Non-Inhibitor  (Medium Confidence)
NVIC0024,"OC[C@H]1O[C@@H](Oc2c(oc3c(c2=O)c(O)cc(c3O[C@@H]2O[C@H](C(=O)O)[C@H]([C@@H]([C@H]2O)O)O)O)c2ccc(c(c2)O)O)[C@@H]([C@H]([C@@H]1O)O)O	",Non-Inhibitor,0.032,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.013,Non-Inhibitor  (High Confidence),Non-Substrate,0,Non-Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.112,Non-Substrate  (High Confidence),Non-Inhibitor,0.003,Non-Inhibitor  (High Confidence),Non-Substrate,0,Non-Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.048,Non-Substrate  (High Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0,Non-Substrate  (High Confidence),Non-Inhibitor,0.041,Non-Inhibitor  (High Confidence),Non-Inhibitor,0.283,Non-Inhibitor  (Medium Confidence)
NVIC0025,"O=C(N(c1nc2c(s1)CCCC2)C)COc1cccc2c1OC(C2)(C)C	",Non-Inhibitor,0.496,Non-Inhibitor  (Low Confidence),Inhibitor,0.998,Inhibitor  (High Confidence),Substrate,0.703,Substrate  (Medium Confidence),Inhibitor,0.999,Inhibitor  (High Confidence),Non-Substrate,0.466,Non-Substrate  (Low Confidence),Inhibitor,0.971,Inhibitor  (High Confidence),Non-Substrate,0.239,Non-Substrate  (Medium Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.421,Non-Substrate  (Low Confidence),Inhibitor,0.791,Inhibitor  (Medium Confidence),Substrate,0.849,Substrate  (High Confidence),Non-Inhibitor,0.185,Non-Inhibitor  (Medium Confidence),Non-Inhibitor,0.111,Non-Inhibitor  (High Confidence)
NVIC0026,"S=C1S/C(=C\c2ccc(o2)c2ccc(c(c2)C(=O)O)Cl)/C(=O)N1CCc1ccc(cc1)OCC1CC1	",Inhibitor,0.935,Inhibitor  (High Confidence),Non-Inhibitor,0.174,Non-Inhibitor  (Medium Confidence),Non-Substrate,0.308,Non-Substrate  (Medium Confidence),Non-Inhibitor,0.247,Non-Inhibitor  (Medium Confidence),Non-Substrate,0.301,Non-Substrate  (Medium Confidence),Inhibitor,0.994,Inhibitor  (High Confidence),Substrate,0.639,Substrate  (Low Confidence),Non-Inhibitor,0,Non-Inhibitor  (High Confidence),Non-Substrate,0.37,Non-Substrate  (Low Confidence),Inhibitor,0.697,Inhibitor  (Medium Confidence),Non-Substrate,0.033,Non-Substrate  (High Confidence),Inhibitor,0.587,Inhibitor  (Low Confidence),Non-Inhibitor,0.292,Non-Inhibitor  (Medium Confidence)
